method,n_train,rmse,r2,seed
random,24,0.017746572545681863,0.9973974488122344,2
random,28,0.026496864363128446,0.9941982465685566,2
random,32,0.0066220913907825045,0.9996376229853863,2
random,36,0.00451359894392417,0.9998316487920103,2
random,40,0.004728397003669151,0.9998152441623522,2
random,44,0.003838368387143301,0.9998782515025376,2
random,48,0.00369539533004178,0.9998871524554044,2
random,52,0.0031542035887667883,0.9999177852490294,2
random,56,0.0030180947085786587,0.9999247275537149,2
random,60,0.0033375563279731527,0.9999079492119981,2
random,64,0.001659371619509847,0.9999772460070804,2
random,68,0.0010512665966290497,0.9999908673664254,2
random,72,0.0010430303121680932,0.9999910099074552,2
random,76,0.0010095608232799486,0.9999915776112952,2
random,80,0.0009116699725081774,0.9999931317577604,2
random,84,0.000842074938397488,0.9999941403485048,2
random,88,0.0007997423122716028,0.9999947146901768,2
random,92,0.0007483787723263801,0.9999953717882224,2
random,96,0.0006169689531421897,0.9999968544476092,2
random,100,0.000653747078954285,0.9999964682510448,2
active,12,0.026062815535111666,0.9943867683791296,3
active,16,0.021672053174170675,0.9961187607218437,3
active,20,0.010864068459913511,0.9990246616746761,3
active,24,0.007537188868748735,0.9995305502644826,3
active,28,0.005470228978433903,0.999752724371548,3
active,32,0.004673258584012867,0.999819527960065,3
active,36,0.003750250658915052,0.9998837773176028,3
active,40,0.00361980958229448,0.9998917216190468,3
active,44,0.003209147099292272,0.999914896082565,3
active,48,0.002441942525062778,0.9999507233496425,3
active,52,0.00242811253173367,0.9999512799277814,3
active,56,0.0022902132469961307,0.9999566566826841,3
active,60,0.00207165701503135,0.9999645345060885,3
active,64,0.0013969136935391261,0.9999838746387829,3
active,68,0.0011611740808224358,0.9999888579534414,3
active,72,0.0010120710882089686,0.999991535674818,3
active,76,0.0009878293918892883,0.9999919363031822,3
active,80,0.0009314252740532557,0.9999928308719239,3
active,84,0.0009259132109289526,0.999992915472933,3
active,88,0.0009103166691497372,0.9999931521333719,3
active,92,0.0008839303092922344,0.9999935433632435,3
active,96,0.000874343231760332,0.9999936826606348,3
active,100,0.0006077953117029301,0.9999969472939025,3
random,12,0.026062815535111666,0.9943867683791296,3
random,16,0.02621590083259398,0.9943206337837841,3
random,20,0.029441403220037278,0.9928371259763434,3
random,24,0.015743739399716874,0.9979517352667154,3
random,28,0.004960701311922352,0.9997966442486387,3
random,32,0.004562140006120489,0.9998280082874981,3
random,36,0.0048689333894235375,0.9998040984064172,3
random,40,0.0035972877135159987,0.9998930648085418,3
random,44,0.0037567166645573174,0.9998833762007517,3
random,48,0.003684416309410012,0.9998878219994944,3
random,52,0.0034566059184881685,0.9999012652476881,3
random,56,0.0028066046230240675,0.9999349072267198,3
random,60,0.002863122450608401,0.9999322592271126,3
random,64,0.002956068945991027,0.9999277896548497,3
random,68,0.0014862144689867505,0.9999817470412354,3
random,72,0.0012627363122686525,0.9999868236342427,3
random,76,0.0013581671413725837,0.9999847567791814,3
random,80,0.000976632720462382,0.9999921180650988,3
random,84,0.0008073010049979706,0.9999946143107811,3
random,88,0.0007873717030262728,0.999994876934503,3
random,92,0.0007121646489800945,0.9999958088700516,3
random,96,0.0007438035667859411,0.9999954282042895,3
random,100,0.0008086363810021879,0.999994596478849,3
active,12,0.024880742508909905,0.9948843953193613,4
active,16,0.021568869586081337,0.9961556309548065,4
active,20,0.024514445270401565,0.995033911635427,4
active,24,0.020493358297148222,0.9965294638789195,4
active,28,0.009687305642515019,0.9992245098120346,4
active,32,0.007209706437745448,0.9995704581672354,4
active,36,0.006481346825891824,0.9996528630637692,4
active,40,0.004137570058006396,0.9998585310847856,4
active,44,0.0031163941899530123,0.9999197444501423,4
active,48,0.0025908118892357455,0.9999445320563969,4
active,52,0.0022954663604165012,0.9999564576195723,4
active,56,0.0023216031778368197,0.9999554604031493,4
active,60,0.0023737117620568184,0.9999534385746953,4
active,64,0.002048652357129875,0.9999653177840513,4
active,68,0.0018824819363031607,0.9999707158961939,4
active,72,0.0016866724282447742,0.9999764911278634,4
active,76,0.0013653532850309467,0.9999845950468548,4
active,80,0.000848242943193912,0.9999940541929286,4
active,84,0.0007008115764895037,0.9999959414319052,4
active,88,0.000718550330812207,0.9999957333728763,4
active,92,0.0006971006999593862,0.999995984299264,4
active,96,0.0006504559287253415,0.9999965037212096,4
active,100,0.0006337507184965344,0.9999966810001559,4
random,12,0.024880742508909905,0.9948843953193613,4
random,16,0.023398390161182038,0.9954757951659866,4
random,20,0.011494687204294585,0.9989081458782456,4
random,24,0.011017919727030454,0.9989968416084649,4
random,28,0.007377814075911479,0.9995501935115576,4
random,32,0.006265187150068556,0.9996756317037928,4
random,36,0.005749794632781239,0.9997268036021074,4
random,40,0.005153473572643038,0.9997805324026485,4
random,44,0.0044353055897115206,0.9998374386122084,4
random,48,0.003337227495422672,0.999907967349702,4
random,52,0.003918375270154572,0.9998731231592023,4
random,56,0.003420202654209144,0.9999033339479353,4
random,60,0.0024636181775912216,0.9999498446688417,4
random,64,0.002097822268455327,0.9999636329825544,4
random,68,0.0019301242681191034,0.9999692148803986,4
random,72,0.001845666599013671,0.9999718501031155,4
random,76,0.0019123512417286864,0.999969779222949,4
random,80,0.0018594594661944382,0.9999714277965378,4
random,84,0.0013871432569012028,0.9999840994212277,4
random,88,0.0012781549834665023,0.9999864998890449,4
random,92,0.0012932434620776512,0.9999861792730894,4
random,96,0.0011601895691019887,0.9999888768391972,4
random,100,0.0011720660799713141,0.9999886479447133,4
